,puntuacion usuarios,marca
11320,8.3,SONY
5264,8.3,SONY
11360,8.3,SONY
5561,8.3,SONY
5563,8.3,SONY
10156,8.3,SONY
10783,8.3,SONY
4325,8.3,SONY
1931,8.3,SONY
10360,8.3,SONY
1920,8.3,SONY
1910,8.3,SONY
10404,8.3,SONY
1885,8.3,SONY
1877,8.3,SONY
4390,8.3,SONY
10513,8.3,SONY
4398,8.3,SONY
10569,8.3,SONY
5626,8.3,SONY
10645,8.3,SONY
5607,8.3,SONY
1322,8.3,SONY
12730,8.3,SONY
1307,8.3,SONY
16861,8.3,SONY
12560,8.3,SONY
4748,8.3,SONY
4948,8.3,SONY
1048,8.3,SONY
12464,8.3,SONY
11883,8.3,SONY
12432,8.3,SONY
4897,8.3,SONY
12404,8.3,SONY
12027,8.3,SONY
4806,8.3,SONY
12116,8.3,SONY
4883,8.3,SONY
12318,8.3,SONY
4850,8.3,SONY
15256,8.3,SONY
1088,8.3,SONY
17629,8.3,SONY
1176,8.3,SONY
11492,8.3,SONY
5151,8.3,SONY
4658,8.3,SONY
5150,8.3,SONY
1194,8.3,SONY
11583,8.3,SONY
4680,8.3,SONY
820,8.3,SONY
816,8.3,SONY
1142,8.3,SONY
1121,8.3,SONY
5008,8.3,SONY
1103,8.3,SONY
12583,8.3,SONY
10231,8.3,SONY
4508,8.3,SONY
2280,8.3,SONY
404,8.3,SONY
2132,8.3,SONY
10118,8.3,SONY
2147,8.3,SONY
14698,8.3,SONY
10040,8.3,SONY
2235,8.3,SONY
7658,8.3,SONY
9900,8.3,SONY
2313,8.3,SONY
2123,8.3,SONY
2332,8.3,SONY
9787,8.3,SONY
9774,8.3,SONY
15678,8.3,SONY
13432,8.3,SONY
2442,8.3,SONY
683,8.3,SONY
151,8.3,SONY
2128,8.3,SONY
3578,8.3,SONY
2120,8.3,SONY
5850,8.2,SONY
4628,8.2,SONY
13349,8.2,SONY
13701,8.2,SONY
2052,8.2,SONY
11391,8.2,SONY
16391,8.2,SONY
3246,8.2,SONY
8012,8.2,SONY
11455,8.2,SONY
9328,8.2,SONY
16787,8.2,SONY
1243,8.2,SONY
2689,8.2,SONY
16881,8.2,SONY
8347,8.2,SONY
8337,8.2,SONY
5830,8.2,SONY
4912,8.2,SONY
2303,8.2,SONY
6088,8.2,SONY
12681,8.2,SONY
11274,8.2,SONY
15970,8.2,SONY
3848,8.2,SONY
5385,8.2,SONY
4559,8.2,SONY
2710,8.2,SONY
3840,8.2,SONY
9266,8.2,SONY
4575,8.2,SONY
837,8.2,SONY
12019,8.2,SONY
9049,8.2,SONY
13891,8.2,SONY
12012,8.2,SONY
3218,8.2,SONY
5261,8.2,SONY
9635,8.2,SONY
11513,8.2,SONY
15675,8.2,SONY
798,8.2,SONY
344,8.2,SONY
832,8.2,SONY
43,8.2,SONY
9755,8.2,SONY
6035,8.2,SONY
11821,8.2,SONY
4216,8.2,SONY
6056,8.2,SONY
5849,8.2,SONY
4131,8.2,SONY
11691,8.2,SONY
13532,8.2,SONY
8092,8.2,SONY
6061,8.2,SONY
3698,8.2,SONY
2608,8.2,SONY
358,8.2,SONY
2605,8.2,SONY
819,8.2,SONY
8035,8.2,SONY
4308,8.2,SONY
14526,8.2,SONY
4662,8.2,SONY
2072,8.2,SONY
9486,8.2,SONY
5093,8.2,SONY
14051,8.2,SONY
10170,8.2,SONY
3773,8.2,SONY
12449,8.2,SONY
9666,8.2,SONY
2382,8.2,SONY
11617,8.2,SONY
3468,8.2,SONY
17829,8.2,SONY
2655,8.2,SONY
12594,8.2,SONY
3376,8.2,SONY
4112,8.2,SONY
707,8.2,SONY
4552,8.2,SONY
12855,8.2,SONY
5820,8.2,SONY
1802,8.2,SONY
2181,8.2,SONY
8808,8.2,SONY
1782,8.2,SONY
12343,8.2,SONY
442,8.2,SONY
10022,8.2,SONY
462,8.2,SONY
13301,8.2,SONY
10671,8.2,SONY
6108,8.2,SONY
10691,8.2,SONY
10693,8.2,SONY
4445,8.2,SONY
5584,8.2,SONY
4261,8.2,SONY
1679,8.2,SONY
5647,8.2,SONY
8962,8.2,SONY
4279,8.2,SONY
4281,8.2,SONY
6560,8.2,SONY
2529,8.2,SONY
12207,8.2,SONY
2803,8.2,SONY
3590,8.2,SONY
8873,8.2,SONY
7595,8.2,SONY
1880,8.2,SONY
5658,8.2,SONY
5798,8.2,SONY
14418,8.2,SONY
7588,8.2,SONY
7580,8.2,SONY
12170,8.2,SONY
3522,8.2,SONY
10481,8.2,SONY
4464,8.2,SONY
7554,8.2,SONY
3044,8.2,SONY
1537,8.2,SONY
16661,8.2,SONY
13485,8.2,SONY
781,8.2,SONY
1509,8.2,SONY
11054,8.2,SONY
12905,8.2,SONY
11088,8.2,SONY
9908,8.2,SONY
1496,8.2,SONY
6253,8.2,SONY
730,8.2,SONY
14883,8.2,SONY
5413,8.2,SONY
11131,8.2,SONY
7490,8.2,SONY
14378,8.2,SONY
7917,8.2,SONY
3100,8.2,SONY
2242,8.2,SONY
1538,8.2,SONY
17306,8.2,SONY
6256,8.2,SONY
6676,8.2,SONY
3925,8.2,SONY
12970,8.2,SONY
10910,8.2,SONY
9203,8.2,SONY
3920,8.2,SONY
7549,8.2,SONY
7818,8.2,SONY
6716,8.2,SONY
12070,8.2,SONY
890,8.2,SONY
4761,8.2,SONY
14220,8.1,SONY
4872,8.1,SONY
4037,8.1,SONY
6111,8.1,SONY
3655,8.1,SONY
7613,8.1,SONY
4902,8.1,SONY
14215,8.1,SONY
7318,8.1,SONY
5682,8.1,SONY
3696,8.1,SONY
6361,8.1,SONY
5908,8.1,SONY
4091,8.1,SONY
14855,8.1,SONY
6423,8.1,SONY
4489,8.1,SONY
4258,8.1,SONY
6663,8.1,SONY
15599,8.1,SONY
6629,8.1,SONY
4389,8.1,SONY
3719,8.1,SONY
5670,8.1,SONY
5675,8.1,SONY
15628,8.1,SONY
15647,8.1,SONY
5740,8.1,SONY
4043,8.1,SONY
14753,8.1,SONY
4360,8.1,SONY
17612,8.1,SONY
6800,8.1,SONY
4311,8.1,SONY
3864,8.1,SONY
3860,8.1,SONY
7198,8.1,SONY
4723,8.1,SONY
7096,8.1,SONY
7093,8.1,SONY
14313,8.1,SONY
5089,8.1,SONY
7069,8.1,SONY
14633,8.1,SONY
4296,8.1,SONY
5997,8.1,SONY
5167,8.1,SONY
5175,8.1,SONY
5202,8.1,SONY
5214,8.1,SONY
5256,8.1,SONY
3815,8.1,SONY
6995,8.1,SONY
4100,8.1,SONY
6827,8.1,SONY
376,8.1,SONY
12279,8.1,SONY
7670,8.1,SONY
13237,8.1,SONY
16285,8.1,SONY
675,8.1,SONY
2511,8.1,SONY
17208,8.1,SONY
9713,8.1,SONY
2343,8.1,SONY
2336,8.1,SONY
2278,8.1,SONY
9973,8.1,SONY
10201,8.1,SONY
8529,8.1,SONY
13209,8.1,SONY
10234,8.1,SONY
10244,8.1,SONY
10287,8.1,SONY
13184,8.1,SONY
1938,8.1,SONY
10328,8.1,SONY
1892,8.1,SONY
1887,8.1,SONY
9396,8.1,SONY
9394,8.1,SONY
2661,8.1,SONY
2703,8.1,SONY
3113,8.1,SONY
8627,8.1,SONY
13805,8.1,SONY
8693,8.1,SONY
3024,8.1,SONY
8774,8.1,SONY
2972,8.1,SONY
8868,8.1,SONY
13702,8.1,SONY
617,8.1,SONY
13694,8.1,SONY
2832,8.1,SONY
2774,8.1,SONY
13660,8.1,SONY
2762,8.1,SONY
13655,8.1,SONY
13596,8.1,SONY
2713,8.1,SONY
2711,8.1,SONY
1872,8.1,SONY
1865,8.1,SONY
1856,8.1,SONY
12743,8.1,SONY
1347,8.1,SONY
11361,8.1,SONY
12726,8.1,SONY
12704,8.1,SONY
1279,8.1,SONY
11508,8.1,SONY
11510,8.1,SONY
12647,8.1,SONY
1155,8.1,SONY
16927,8.1,SONY
1120,8.1,SONY
1093,8.1,SONY
11677,8.1,SONY
11708,8.1,SONY
11712,8.1,SONY
1054,8.1,SONY
11837,8.1,SONY
11912,8.1,SONY
896,8.1,SONY
11335,8.1,SONY
11265,8.1,SONY
10466,8.1,SONY
11214,8.1,SONY
10477,8.1,SONY
10599,8.1,SONY
13092,8.1,SONY
13077,8.1,SONY
1753,8.1,SONY
1751,8.1,SONY
10706,8.1,SONY
10828,8.1,SONY
1664,8.1,SONY
12973,8.1,SONY
1590,8.1,SONY
10945,8.1,SONY
12950,8.1,SONY
12945,8.1,SONY
11004,8.1,SONY
11020,8.1,SONY
11022,8.1,SONY
1476,8.1,SONY
12828,8.1,SONY
8541,8.1,SONY
8795,8.1,SONY
8499,8.1,SONY
8115,8.1,SONY
8469,8.1,SONY
3299,8.1,SONY
3290,8.1,SONY
3392,8.1,SONY
17792,8.1,SONY
3518,8.1,SONY
13887,8.1,SONY
8370,8.1,SONY
3508,8.1,SONY
15947,8.1,SONY
3423,8.1,SONY
3214,8.1,SONY
7947,8.1,SONY
8401,8.1,SONY
8087,8.1,SONY
8084,8.1,SONY
8016,8.1,SONY
565,8.1,SONY
3181,8.1,SONY
7764,8.1,SONY
14141,8.1,SONY
8234,8.1,SONY
8496,8.1,SONY
17329,8.1,SONY
8279,8.1,SONY
5689,8.0,SONY
2064,8.0,SONY
548,8.0,SONY
4320,8.0,SONY
10625,8.0,SONY
14805,8.0,SONY
14808,8.0,SONY
5821,8.0,SONY
16498,8.0,SONY
16485,8.0,SONY
3428,8.0,SONY
14256,8.0,SONY
10579,8.0,SONY
10840,8.0,SONY
7301,8.0,SONY
10217,8.0,SONY
10921,8.0,SONY
12962,8.0,SONY
5550,8.0,SONY
17380,8.0,SONY
1583,8.0,SONY
8062,8.0,SONY
8225,8.0,SONY
733,8.0,SONY
