,nombre,plataforma,fecha lanzamiento,puntuacion,puntuacion usuarios,desarrollador,genero,numero jugadores,numero criticas,numero usuarios
16,Grand Theft Auto V,PlayStation4,2014-11-18,97,8.4,RockstarNorth,"Action Adventure,Modern,Open-World",Up to 30 ,66,5899
15,Red Dead Redemption 2,PlayStation4,2018-10-26,97,8.4,RockstarGames,"Action Adventure,Open-World",Up to 32 ,99,14315
11640,Blood Omen 2,PlayStation2,2002-03-21,67,8.4,CrystalDynamics,"Action Adventure,Horror",1 Player,18,27
4081,Crash Bandicoot N. Sane Trilogy,PlayStation4,2017-06-30,80,8.4,VicariousVisions,"Miscellaneous,Compilation",No Online Multiplayer,85,1182
4082,Ninjatown,DS,2008-10-28,80,8.4,"VenanEntertainment,CashmereProd.","Strategy,Real-Time,General,General,Defense",2  Online,40,24
11717,NIER,Xbox360,2010-04-27,67,8.4,CaviaInc.,"Role-Playing,Action RPG,Action RPG",No Online Multiplayer,60,182
11744,The Operative: No One Lives Forever,PlayStation2,2002-04-16,67,8.4,MonolithProductions,"Action,Shooter,First-Person,Modern",1 Player,23,17
18,Grand Theft Auto III,PlayStation2,2001-10-22,97,8.4,DMADesign,"Action Adventure,Modern",1 Player,56,881
1388,Skate,Xbox360,2007-09-14,86,8.4,EABlackBox,"Sports,Alternative,Individual,Skateboarding,Skateboarding,Skate / Skateboard",6  Online,59,143
1370,Age of Wonders II: The Wizard's Throne,PC,2002-06-12,86,8.4,TriumphStudios,"Strategy,Turn-Based,Fantasy,General,Fantasy",1-8 ,20,66
1366,Tom Clancy's Rainbow Six 3,Xbox,2003-03-14,86,8.4,Ubisoft,"Action,Shooter,First-Person,Tactical,Modern",1-16 ,39,33
458,WWF SmackDown! 2: Know Your Role,PlayStation,2000-11-21,90,8.4,Yuke's,"Action,Fighting,Wrestling",1-4 ,15,56
459,LIMBO,Xbox360,2010-07-21,90,8.4,PLAYDEAD,"Action,Platformer,Platformer,2D,2D",No info,89,502
